Timestamp,Requests_Last_5s,CPU_Usage(%),Memory_Usage(%),Avg_Response_Time(ms),Thread_Utilization(%),Requests_Per_Second,Load_Level
255008,49,0.00,2.86,100.35,2.00,9.80,Low
260007,17,0.00,2.86,100.24,2.00,3.40,Low
265008,12,0.00,2.86,108.75,0.00,2.40,Low
270007,13,0.00,2.86,92.69,2.00,2.60,Low
275007,12,0.00,2.88,108.67,0.00,2.40,Low
280007,13,0.00,2.89,92.46,2.00,2.60,Low
285007,12,0.00,2.89,108.75,0.00,2.40,Low
290007,216,0.00,0.62,98.11,10.00,43.20,High
295007,242,0.00,0.64,100.36,10.00,48.40,High
300007,242,0.00,1.10,100.38,10.00,48.40,High
305007,241,0.00,1.17,100.37,10.00,48.20,High
310007,243,0.00,1.27,100.38,10.00,48.60,High
315007,243,0.00,1.71,100.39,10.00,48.60,High
320007,243,0.00,1.75,100.38,10.00,48.60,High
325007,244,0.00,1.97,100.33,10.00,48.80,High
330007,243,0.00,2.29,100.33,10.00,48.60,High
335008,244,0.00,2.35,100.36,10.00,48.80,High
340007,244,0.00,2.75,100.29,10.00,48.80,High
345008,242,0.00,2.91,100.36,10.00,48.40,High
350007,42,0.00,2.92,112.36,0.00,8.40,Low
355007,17,0.00,2.92,94.47,2.00,3.40,Low
360007,16,0.00,2.92,106.69,0.00,3.20,Low
365007,17,0.00,2.94,100.41,0.00,3.40,Low
370007,17,0.00,2.94,94.59,2.00,3.40,Low
375007,16,0.00,2.94,106.69,0.00,3.20,Low
380007,2,0.00,2.94,100.50,0.00,0.40,Low
385007,211,0.00,3.16,97.98,10.00,42.20,High
390008,242,0.00,3.49,100.33,10.00,48.40,High
395008,243,0.00,3.54,100.31,10.00,48.60,High
400007,243,0.00,0.53,100.25,10.00,48.60,High
405007,242,0.00,0.56,100.76,8.00,48.40,High
410007,243,0.00,0.96,99.88,10.00,48.60,High
415007,242,0.00,1.01,100.31,10.00,48.40,High
420007,243,0.00,1.42,100.30,10.00,48.60,High
425007,243,0.00,1.48,100.34,10.00,48.60,High
430007,242,0.00,1.86,100.30,10.00,48.40,High
435007,242,0.00,1.93,100.32,10.00,48.40,High
440007,243,0.00,2.31,100.35,10.00,48.60,High
445007,42,0.00,2.33,112.07,0.00,8.40,Low
450007,13,0.00,2.33,100.54,0.00,2.60,Low
455008,12,0.00,2.33,100.42,0.00,2.40,Low
460007,13,0.00,2.33,100.15,0.00,2.60,Low
465007,12,0.00,2.33,100.58,0.00,2.40,Low
470007,13,0.00,2.33,92.62,2.00,2.60,Low
475007,16,0.00,2.33,100.56,2.00,3.20,Low
480007,16,0.00,2.34,106.38,0.00,3.20,Low
485007,17,0.00,2.34,100.35,0.00,3.40,Low
490007,17,0.00,2.34,94.59,2.00,3.40,Low
495007,16,0.00,2.34,106.50,0.00,3.20,Low
500007,17,0.00,2.34,100.35,0.00,3.40,Low
505007,44,0.00,2.37,97.95,2.00,8.80,Low
510008,50,0.00,2.41,100.18,2.00,10.00,Low
515007,50,0.00,2.44,100.26,2.00,10.00,Low
520007,49,0.00,2.55,100.27,2.00,9.80,Low
525008,50,0.00,2.64,100.22,2.00,10.00,Low
530007,50,0.00,2.73,100.32,2.00,10.00,Low
535007,49,0.00,2.75,100.41,2.00,9.80,Low
540007,50,0.00,2.78,100.36,2.00,10.00,Low
545007,50,0.00,2.79,100.44,2.00,10.00,Low
550007,49,0.00,2.79,100.12,2.00,9.80,Low
555008,50,0.00,2.80,100.24,2.00,10.00,Low
560007,50,0.00,2.85,100.24,2.00,10.00,Low
565007,7,0.00,2.85,114.43,0.00,1.40,Low
570007,205,0.00,3.18,97.97,10.00,41.00,High
575007,243,0.00,3.28,100.34,10.00,48.60,High
580007,243,0.00,3.59,100.31,10.00,48.60,High
585007,243,0.00,3.73,100.32,10.00,48.60,High
590007,242,0.00,0.43,100.38,10.00,48.40,High
595007,243,0.00,0.47,100.31,10.00,48.60,High
600007,242,0.00,0.70,100.36,10.00,48.40,High
605007,242,0.00,1.04,100.38,10.00,48.40,High
610007,242,0.00,1.13,100.36,10.00,48.40,High
615007,242,0.00,1.42,100.38,10.00,48.40,High
620007,241,0.00,1.66,100.40,10.00,48.20,High
625007,241,0.00,1.78,100.47,10.00,48.20,High
630008,53,0.00,1.82,109.81,0.00,10.60,Medium
635007,17,0.00,1.83,100.41,0.00,3.40,Low
640008,17,0.00,1.84,94.71,2.00,3.40,Low
645007,16,0.00,1.86,106.69,0.00,3.20,Low
650008,17,0.00,1.88,100.41,0.00,3.40,Low
655007,17,0.00,1.92,94.35,2.00,3.40,Low
660007,13,0.00,1.95,108.46,0.00,2.60,Low
665008,12,0.00,1.96,100.58,0.00,2.40,Low
670007,13,0.00,1.99,92.85,2.00,2.60,Low
675008,12,0.00,2.00,108.83,0.00,2.40,Low
680007,13,0.00,2.03,93.00,2.00,2.60,Low
685006,12,0.00,2.04,108.83,0.00,2.40,Low
690007,43,0.00,2.10,97.93,2.00,8.60,Low
695007,50,0.00,2.18,100.28,2.00,10.00,Low
700007,49,0.00,2.22,100.22,2.00,9.80,Low
705007,50,0.00,2.25,100.24,2.00,10.00,Low
710007,50,0.00,2.28,100.40,2.00,10.00,Low
715007,49,0.00,2.29,100.27,2.00,9.80,Low
720007,50,0.00,2.33,100.42,2.00,10.00,Low
725007,49,0.00,2.34,100.65,2.00,9.80,Low
730008,50,0.00,2.37,100.50,2.00,10.00,Low
735007,50,0.00,2.41,100.44,2.00,10.00,Low
740008,49,0.00,2.44,100.41,2.00,9.80,Low
745007,50,0.00,2.52,100.38,2.00,10.00,Low
750007,9,0.00,2.53,112.00,0.00,1.80,Low
755007,194,0.00,2.80,97.86,10.00,38.80,High
760007,241,0.00,2.95,100.39,10.00,48.20,High
765007,241,0.00,3.13,100.50,10.00,48.20,High
770008,243,0.00,3.45,100.47,10.00,48.60,High
775007,242,0.00,3.58,100.49,10.00,48.40,High
780007,241,0.00,3.78,101.39,8.00,48.20,High
785007,230,0.00,0.36,111.98,10.00,46.00,High
790008,242,0.00,0.54,100.40,10.00,48.40,High
795007,243,0.00,0.84,100.40,10.00,48.60,High
800007,242,0.00,0.97,100.32,10.00,48.40,High
805008,242,0.00,0.18,100.45,10.00,48.40,High
810007,242,0.00,0.40,100.39,10.00,48.40,High
815007,61,0.00,0.45,107.16,2.00,12.20,Medium
820007,16,0.00,0.46,106.88,0.00,3.20,Low
825007,17,0.00,0.48,100.53,0.00,3.40,Low
830008,17,0.00,0.50,94.71,2.00,3.40,Low
835008,16,0.00,0.51,106.88,0.00,3.20,Low
840007,17,0.00,0.53,100.59,0.00,3.40,Low
845007,13,0.00,0.54,100.46,0.00,2.60,Low
850007,13,0.00,0.55,100.85,0.00,2.60,Low
855007,12,0.00,0.56,100.25,0.00,2.40,Low
860007,13,0.00,0.58,93.15,2.00,2.60,Low
865007,12,0.00,0.59,108.67,0.00,2.40,Low
870008,13,0.00,0.60,93.00,2.00,2.60,Low
875007,41,0.00,0.63,100.44,2.00,8.20,Low
880008,50,0.00,0.68,100.28,2.00,10.00,Low
885006,49,0.00,0.73,100.49,2.00,9.80,Low
890007,50,0.00,0.77,100.52,2.00,10.00,Low
895007,49,0.00,0.81,100.37,2.00,9.80,Low
900007,50,0.00,0.86,100.38,2.00,10.00,Low
905007,50,0.00,0.90,100.44,2.00,10.00,Low
910008,49,0.00,0.94,100.47,2.00,9.80,Low
915007,50,0.00,0.99,100.62,2.00,10.00,Low
920007,49,0.00,1.04,100.35,2.00,9.80,Low
925007,50,0.00,1.08,100.54,2.00,10.00,Low
930007,50,0.00,1.13,100.58,2.00,10.00,Low
935008,11,0.00,1.14,109.73,0.00,2.20,Low
940007,10,0.00,1.15,100.80,0.00,2.00,Low
945007,12,0.00,1.16,100.42,0.00,2.40,Low
950007,13,0.00,1.17,100.54,0.00,2.60,Low
955007,12,0.00,1.17,100.92,0.00,2.40,Low
960007,13,0.00,1.18,100.62,0.00,2.60,Low
965007,12,0.00,1.20,100.58,0.00,2.40,Low
970007,41,0.00,1.24,97.98,2.00,8.20,Low
975008,49,0.00,1.28,100.57,2.00,9.80,Low
980007,50,0.00,1.32,100.48,2.00,10.00,Low
985007,50,0.00,1.37,100.38,2.00,10.00,Low
990007,49,0.00,1.42,100.37,2.00,9.80,Low
995007,50,0.00,1.46,100.58,2.00,10.00,Low
1000009,50,0.00,1.50,100.38,2.00,10.00,Low
1005008,49,0.00,1.55,100.35,2.00,9.80,Low
1010007,50,0.00,1.59,100.46,2.00,10.00,Low
1015009,50,0.00,1.63,98.42,4.00,10.00,Low
1020007,49,0.00,1.68,102.59,2.00,9.80,Low
1025007,50,0.00,1.72,100.48,2.00,10.00,Low
1030007,193,0.00,1.90,98.55,10.00,38.60,High
1035007,242,0.00,0.17,100.60,10.00,48.40,High
1040007,242,0.00,0.37,100.48,10.00,48.40,High
1045008,241,0.00,0.57,100.93,8.00,48.20,High
1050007,243,0.00,0.80,100.02,10.00,48.60,High
1055007,241,0.00,1.00,100.98,8.00,48.20,High
1060007,241,0.00,1.24,100.69,8.00,48.20,High
1065007,241,0.00,1.44,100.03,10.00,48.20,High
1070007,241,0.00,1.65,100.66,10.00,48.20,High
1075007,241,0.00,1.87,100.54,10.00,48.20,High
1080007,243,0.00,2.09,100.37,10.00,48.60,High
1085007,242,0.00,2.31,100.31,10.00,48.40,High
1090007,75,0.00,2.37,106.04,2.00,15.00,Medium
1095007,16,0.00,2.38,106.94,0.00,3.20,Low
1100007,17,0.00,2.39,101.12,0.00,3.40,Low
1105007,17,0.00,2.41,95.06,2.00,3.40,Low
1110007,16,0.00,2.42,107.06,0.00,3.20,Low
1115007,17,0.00,2.44,95.06,2.00,3.40,Low
1120007,4,0.00,2.44,125.75,0.00,0.80,Low
1125007,9,0.00,2.45,100.67,0.00,1.80,Low
1130008,13,0.00,2.46,101.15,0.00,2.60,Low
1135007,12,0.00,2.47,101.25,0.00,2.40,Low
1140007,13,0.00,2.48,101.08,0.00,2.60,Low
1145007,12,0.00,2.49,100.92,0.00,2.40,Low
1150007,13,0.00,2.50,101.15,0.00,2.60,Low
1155008,15,0.00,2.51,100.60,0.00,3.00,Low
1160008,17,0.00,2.53,94.59,2.00,3.40,Low
1165007,16,0.00,2.55,106.81,0.00,3.20,Low
1170007,17,0.00,2.57,100.71,0.00,3.40,Low
1175008,17,0.00,2.59,94.94,2.00,3.40,Low
1180007,16,0.00,2.61,107.25,0.00,3.20,Low
1185007,39,0.00,2.63,98.44,2.00,7.80,Low
1190007,50,0.00,2.68,101.22,2.00,10.00,Low
1195007,49,0.00,2.71,100.88,2.00,9.80,Low
1200007,49,0.00,2.77,101.08,2.00,9.80,Low
1205007,50,0.00,2.82,101.16,2.00,10.00,Low
1210007,49,0.00,2.85,100.86,2.00,9.80,Low
1215007,50,0.00,2.90,100.16,2.00,10.00,Low
1220007,49,0.00,2.94,100.39,2.00,9.80,Low
1225007,50,0.00,2.98,100.84,2.00,10.00,Low
1230008,50,0.00,3.02,100.74,2.00,10.00,Low
1235007,49,0.00,3.08,100.63,2.00,9.80,Low
1240007,50,0.00,3.12,100.40,2.00,10.00,Low
1245008,178,0.00,0.20,98.54,8.00,35.60,High
1250007,245,0.00,0.45,99.80,10.00,49.00,High
1255007,244,0.00,0.66,100.23,10.00,48.80,High
1260007,244,0.00,0.86,100.26,10.00,48.80,High
1265007,244,0.00,1.08,100.29,10.00,48.80,High
1270007,244,0.00,1.30,100.67,8.00,48.80,High
1275009,245,0.00,1.52,99.94,10.00,49.00,High
1280007,245,0.00,1.76,100.29,10.00,49.00,High
1285007,244,0.00,1.95,100.33,10.00,48.80,High
1290007,243,0.00,2.17,100.35,10.00,48.60,High
1295007,244,0.00,2.38,100.31,10.00,48.80,High
1300007,245,0.00,2.60,100.28,10.00,49.00,High
1305007,83,0.00,2.67,106.33,0.00,16.60,Medium
1310007,160,0.00,2.83,97.26,10.00,32.00,High
1315007,241,0.00,3.04,100.52,10.00,48.20,High
1320007,241,0.00,3.24,100.65,10.00,48.20,High
1325007,241,0.00,3.45,100.73,10.00,48.20,High
1330007,242,0.00,3.67,100.62,10.00,48.40,High
1335007,243,0.00,0.22,100.38,10.00,48.60,High
1340008,243,0.00,0.48,100.35,10.00,48.60,High
1345007,241,0.00,0.65,100.85,8.00,48.20,High
1350007,244,0.00,0.86,99.88,10.00,48.80,High
1355007,244,0.00,1.09,100.28,10.00,48.80,High
1360007,242,0.00,1.30,100.35,10.00,48.40,High
1365007,246,0.00,1.54,100.31,10.00,49.20,High
1370007,116,0.00,1.61,103.64,2.00,23.20,High
1375007,50,0.00,1.67,100.08,2.00,10.00,Low
1380007,50,0.00,1.72,100.24,2.00,10.00,Low
1385008,49,0.00,1.78,100.98,2.00,9.80,Low
1390007,50,0.00,1.81,100.68,2.00,10.00,Low
1395007,49,0.00,1.84,100.20,2.00,9.80,Low
1400008,50,0.00,1.88,100.28,2.00,10.00,Low
1405008,50,0.00,1.93,100.30,2.00,10.00,Low
1410008,49,0.00,1.98,100.67,2.00,9.80,Low
1415007,50,0.00,2.05,100.78,2.00,10.00,Low
1420007,49,0.00,2.08,100.67,2.00,9.80,Low
1425008,50,0.00,2.11,100.84,2.00,10.00,Low
1430007,26,0.00,2.13,100.54,2.00,5.20,Low
1435007,12,0.00,2.14,108.58,0.00,2.40,Low
1440007,12,0.00,2.15,101.00,0.00,2.40,Low
1445007,13,0.00,2.16,101.08,0.00,2.60,Low
1450007,12,0.00,2.17,101.17,0.00,2.40,Low
1455007,13,0.00,2.18,101.08,0.00,2.60,Low
1460007,15,0.00,2.19,101.07,0.00,3.00,Low
1465007,17,0.00,2.21,94.94,2.00,3.40,Low
1470007,16,0.00,2.24,106.81,0.00,3.20,Low
1475008,17,0.00,2.26,94.41,2.00,3.40,Low
1480007,16,0.00,2.28,106.44,0.00,3.20,Low
1485007,17,0.00,2.29,100.35,0.00,3.40,Low
1490008,6,0.00,2.30,100.17,0.00,1.20,Low
1495008,148,0.00,2.41,97.24,10.00,29.60,High
1500008,243,0.00,2.65,100.35,10.00,48.60,High
1505007,243,0.00,2.87,100.60,10.00,48.60,High
1510007,241,0.00,3.07,100.75,10.00,48.20,High
1515007,241,0.00,3.28,100.65,10.00,48.20,High
1520008,241,0.00,3.49,100.69,10.00,48.20,High
1525007,241,0.00,3.71,100.75,10.00,48.20,High
1530007,241,0.00,0.27,100.73,10.00,48.20,High
1535007,239,0.00,0.46,101.32,8.00,47.80,High
1540007,242,0.00,0.70,100.16,10.00,48.40,High
1545007,243,0.00,0.90,100.32,10.00,48.60,High
1550008,245,0.00,1.13,100.35,10.00,49.00,High
1555008,105,0.00,1.23,104.10,2.00,21.00,High
1560007,16,0.00,1.24,106.63,0.00,3.20,Low
1565007,17,0.00,1.26,100.24,0.00,3.40,Low
1570008,17,0.00,1.27,94.53,2.00,3.40,Low
1575007,16,0.00,1.27,107.19,0.00,3.20,Low
1580008,17,0.00,1.28,95.00,2.00,3.40,Low
1585007,36,0.00,1.33,100.86,2.00,7.20,Low
1590007,49,0.00,1.37,100.92,2.00,9.80,Low
1595007,49,0.00,1.41,101.06,2.00,9.80,Low
1600007,50,0.00,1.46,100.82,2.00,10.00,Low
1605007,49,0.00,1.51,100.41,2.00,9.80,Low
1610007,50,0.00,1.54,100.74,2.00,10.00,Low
1615007,49,0.00,1.59,100.63,2.00,9.80,Low
1620007,50,0.00,1.64,100.96,2.00,10.00,Low
1625007,49,0.00,1.68,100.69,2.00,9.80,Low
1630007,50,0.00,1.72,100.76,2.00,10.00,Low
1635007,49,0.00,1.78,101.12,2.00,9.80,Low
1640007,49,0.00,1.81,101.10,2.00,9.80,Low
